
 IV Data
=========
" " 


Scan Num	Measured Voltage (V)	Reference Voltage (V)	Corrected Voltage (V)	Current (mA)	Current Error (%)	Theoretical Current (mA)
7	-52.56347	-53.54004	-52.56347	-0.002808	-0.002808	-2.499068E-03
7	-38.18359	-39.25781	-38.28125	-0.002016	0	-2.48809E-03
7	-37.74414	-38.86718	-37.89062	-0.003276	0	-2.476991E-03
7	-37.40234	-38.52539	-37.54882	-0.0036	0	-2.465768E-03
7	-37.10937	-38.13476	-37.1582	-0.00324	0	-2.454417E-03
7	-36.74316	-37.69531	-36.71875	-0.001548	0	-2.442933E-03
7	-36.27929	-37.37793	-36.40136	-0.000972	0	-2.431311E-03
7	-35.9375	-37.03613	-36.05957	-0.00432	0	-2.419548E-03
7	-35.71777	-36.59668	-35.62011	-0.002016	0	-2.407637E-03
7	-35.18066	-36.20605	-35.22949	-0.0018	0	-2.395575E-03
7	-34.76562	-35.86425	-34.88769	-0.001944	0	-2.383355E-03
7	-34.47265	-35.52246	-34.54589	-0.002052	0	-2.370972E-03
7	-34.0332	-35.10742	-34.13086	-0.003204	0	-2.358421E-03
7	-33.74023	-34.71679	-33.74023	-0.002412	0	-2.345696E-03
7	-33.34961	-34.27734	-33.30078	-0.002304	0	-2.332791E-03
7	-32.88574	-34.08203	-33.10546	-0.000972	0	-2.319698E-03
7	-32.56836	-33.54492	-32.56836	-0.002592	0	-2.306411E-03
7	-32.1289	-33.17871	-32.20214	-0.002232	0	-2.292925E-03
7	-31.81152	-32.76367	-31.78711	-0.000432	0	-2.27923E-03
7	-31.34765	-32.4707	-31.49414	-0.002232	0	-2.265321E-03
7	-31.05469	-32.00683	-31.03027	-0.001656	0	-2.251189E-03
7	-30.54199	-31.73828	-30.76172	-0.002196	0	-2.236825E-03
7	-30.27344	-31.39648	-30.41992	-0.002988	0	-2.222223E-03
7	-29.76074	-30.85937	-29.88281	-0.00108	0	-2.207372E-03
7	-29.39453	-30.51758	-29.54101	-0.000972	0	-2.192263E-03
7	-29.10156	-30.12695	-29.15039	-0.001692	0	-2.176888E-03
7	-28.66211	-29.6875	-28.71094	-0.003024	0	-2.161237E-03
7	-28.2959	-29.3457	-28.36914	-0.00144	0	-2.145298E-03
7	-27.90527	-29.0039	-28.02734	-0.000252	0	-2.129062E-03
7	-27.46582	-28.58887	-27.6123	-0.000504	0	-2.112518E-03
7	-27.19726	-28.14941	-27.17285	-0.003672	0	-2.095653E-03
