
 IV Data
=========
" " 


Scan Num	Measured Voltage (V)	Reference Voltage (V)	Corrected Voltage (V)	Current (mA)	Current Error (%)	Theoretical Current (mA)
6	-52.63671	-55.81054	-52.63671	-0.081936	-0.081936	0
6	-38.23242	-41.52832	-38.35449	-0.07236	0	0
6	-37.74414	-41.08886	-37.91504	-0.072432	0	0
6	-37.5	-40.67382	-37.5	-0.071028	0	0
6	-37.10937	-40.42968	-37.25586	-0.072108	0	0
6	-36.66992	-40.03906	-36.86523	-0.072468	0	0
6	-36.32812	-39.50195	-36.32812	-0.071496	0	0
6	-35.88867	-39.25781	-36.08398	-0.068796	0	0
6	-35.49804	-38.86718	-35.69336	-0.069012	0	0
6	-35.27832	-38.47656	-35.30273	-0.069876	0	0
6	-34.81445	-38.15918	-34.98535	-0.073116	0	0
6	-34.44824	-37.64648	-34.47265	-0.071496	0	0
6	-34.05761	-37.28027	-34.10644	-0.069516	0	0
6	-33.64257	-36.93847	-33.76464	-0.068832	0	0
6	-33.25195	-36.57226	-33.39843	-0.069588	0	0
6	-32.98339	-36.10839	-32.93457	-0.06804	0	0
6	-32.51953	-35.7666	-32.59277	-0.068184	0	0
6	-32.10449	-35.40039	-32.22656	-0.066564	0	0
6	-31.76269	-35.15625	-31.98242	-0.067788	0	0
6	-31.4209	-34.52148	-31.34765	-0.067968	0	0
6	-30.93262	-34.15527	-30.98144	-0.06678	0	0
6	-30.63965	-33.93554	-30.76171	-0.065736	0	0
6	-30.24902	-33.5205	-30.34668	-0.06696	0	0
6	-29.80957	-33.12988	-29.95605	-0.065808	0	0
6	-29.49219	-32.71484	-29.54101	-0.064116	0	0
6	-29.27246	-32.34863	-29.1748	-0.062316	0	0
6	-28.68652	-31.88476	-28.71094	-0.064008	0	0
6	-28.27148	-31.66504	-28.49121	-0.063036	0	0
6	-27.90527	-31.12793	-27.9541	-0.06444	0	0
6	-27.58789	-30.83496	-27.66113	-0.063612	0	0
6	-27.17285	-30.41992	-27.24609	-0.061812	0	0
6	-26.80664	-30.00488	-26.83105	-0.064512	0	0
6	-26.44043	-29.66308	-26.48926	-0.063216	0	0
6	-26.00097	-29.29687	-26.12304	-0.064584	0	0
6	-25.65918	-28.83301	-25.65918	-0.06084	0	0
6	-25.34179	-28.41797	-25.24414	-0.063072	0	0
6	-24.80469	-28.17383	-25	-0.062172	0	0
6	-24.4873	-27.80762	-24.63379	-0.063684	0	0
6	-24.12109	-27.4414	-24.26758	-0.063504	0	0
6	-23.75488	-27.05078	-23.87695	-0.060948	0	0
6	-23.36426	-26.51367	-23.33984	-0.0621	0	0
6	-22.97363	-26.24512	-23.07129	-0.061092	0	0
6	-22.63183	-25.8789	-22.70508	-0.060912	0	0
6	-22.26562	-25.43945	-22.26562	-0.059796	0	0
6	-21.7041	-24.92676	-21.75293	-0.061488	0	0
6	-21.33789	-24.68262	-21.50879	-0.058176	0	0
6	-21.06933	-24.19433	-21.02051	-0.060948	0	0
6	-20.70312	-23.87695	-20.70312	-0.059364	0	0
6	-20.23926	-23.55957	-20.38574	-0.061344	0	0
6	-19.89746	-23.19336	-20.01953	-0.058716	0	0
6	-19.50683	-22.7539	-19.58008	-0.059364	0	0
6	-19.14062	-22.38769	-19.21387	-0.058248	0	0
6	-18.72558	-21.94824	-18.77441	-0.056232	0	0
6	-18.38379	-21.65527	-18.48144	-0.058176	0	0
6	-17.99316	-21.28906	-18.11523	-0.057672	0	0
6	-17.60254	-20.80078	-17.62695	-0.057924	0	0
6	-17.23633	-20.41015	-17.23633	-0.055512	0	0
6	-16.8457	-20.19043	-17.0166	-0.057924	0	0
6	-16.47949	-19.72656	-16.55273	-0.053136	0	0
6	-16.13769	-19.31152	-16.13769	-0.054252	0	0
6	-15.69824	-19.04297	-15.86914	-0.056196	0	0
