
 IV Data
=========
" " 


Scan Num	Measured Voltage (V)	Reference Voltage (V)	Corrected Voltage (V)	Current (mA)	Current Error (%)	Theoretical Current (mA)
4	-52.53906	-64.28222	-52.53906	-0.195804	-0.195804	-0.1166468
4	7.788085	-3.442383	8.300777	-0.082332	0	-0.1162166
4	8.129882	-3.198242	8.544918	-0.078192	0	-0.1157825
4	8.276366	-2.954101	8.789059	-0.07812	0	-0.1153445
4	8.496093	-2.832031	8.911129	-0.077976	0	-0.1149023
4	8.618163	-2.636719	9.106441	-0.074772	0	-0.1144559
4	8.83789	-2.490234	9.252926	-0.07542	0	-0.1140052
4	9.057616	-2.124023	9.619137	-0.0738	0	-0.1135499
4	9.277343	-2.001953	9.741207	-0.073836	0	-0.1130901
4	9.448241	-1.733398	10.00976	-0.07074	0	-0.1126256
4	9.545897	-1.538086	10.20507	-0.071352	0	-0.1121562
4	9.790038	-1.293945	10.44921	-0.07002	0	-0.1116817
4	10.03418	-1.147461	10.5957	-0.07092	0	-0.1112021
4	10.22949	-0.7812499	10.96191	-0.070164	0	-0.1107172
4	10.47363	-0.7324218	11.01074	-0.067536	0	-0.1102268
4	10.62012	-0.4882812	11.25488	-0.070452	0	-0.1097308
4	10.7666	-0.2441406	11.49902	-0.067428	0	-0.1092289
4	11.01074	-9.765624E-02	11.6455	-0.066888	0	-0.1087211
4	11.15723	9.765624E-02	11.84082	-0.065484	0	-0.1082071
4	11.47461	0.3417968	12.08496	-0.066744	0	-0.1076868
4	11.71875	0.5859374	12.3291	-0.064764	0	-0.1071599
4	11.84082	0.7324218	12.47558	-0.062208	0	-0.1066262
4	12.08496	0.9521484	12.69531	-0.063396	0	-0.1060856
4	12.23144	1.025391	12.76855	-0.063036	0	-0.1055379
4	12.35351	1.391601	13.13476	-0.061632	0	-0.1049827
4	12.64648	1.611328	13.35449	-0.059436	0	-0.1044199
4	12.86621	1.782226	13.52539	-0.060732	0	-0.1038493
4	12.96387	2.001953	13.74511	-0.056988	0	-0.1032706
4	13.18359	2.221679	13.96484	-0.058824	0	-0.1026835
4	13.47656	2.416992	14.16015	-0.05616	0	-0.1020878
4	13.59863	2.661133	14.40429	-0.055548	0	-0.1014832
4	13.76953	2.880859	14.62402	-0.056376	0	-0.1008695
4	13.96484	3.100586	14.84375	-0.051732	0	-0.1002463
4	14.18457	3.222656	14.96582	-0.052956	0	-9.961329E-02
4	14.42871	3.491211	15.23437	-0.052344	0	-9.897024E-02
4	14.69726	3.637695	15.38086	-0.050652	0	-9.831682E-02
4	14.81933	3.90625	15.64941	-0.050436	0	-9.765267E-02
4	14.91699	4.077148	15.82031	-0.04788	0	-9.697744E-02
4	15.23437	4.27246	16.01562	-0.051084	0	-9.629078E-02
4	15.4541	4.516601	16.25976	-0.047376	0	-9.559234E-02
4	15.55176	4.80957	16.55273	-0.04518	0	-9.488173E-02
4	15.7959	4.882812	16.62597	-0.044064	0	-9.415854E-02
4	15.9668	5.05371	16.79687	-0.044784	0	-0.0934224
4	16.11328	5.346679	17.08984	-0.043344	0	-9.267285E-02
4	16.38183	5.566406	17.30957	-0.044316	0	-9.190947E-02
4	16.57715	5.761718	17.50488	-0.040464	0	-9.113179E-02
4	16.82129	5.981445	17.72461	-0.040284	0	-9.033937E-02
4	17.0166	6.201171	17.94433	-0.038448	0	-8.953173E-02
4	17.30957	6.396484	18.13964	-0.037116	0	-8.870834E-02
4	17.43164	6.542968	18.28613	-0.037836	0	-0.0878687
4	17.55371	6.713867	18.45703	-0.03564	0	-8.701228E-02
4	17.84668	6.982421	18.72558	-0.03492	0	-0.0861385
4	18.0664	7.202148	18.94531	-0.03582	0	-8.524682E-02
4	18.21289	7.470703	19.21386	-0.032364	0	-8.433662E-02
4	18.38379	7.568359	19.31152	-0.031932	0	-0.0834073
4	18.5791	7.788085	19.53125	-0.029232	0	-8.245822E-02
4	18.75	8.05664	19.7998	-0.027216	0	-8.148872E-02
4	18.99414	8.17871	19.92187	-0.02556	0	-8.049814E-02
4	19.14062	8.447265	20.19043	-0.023616	0	-7.948574E-02
4	19.43359	8.666991	20.41015	-0.022932	0	-7.845083E-02
4	19.6289	8.764647	20.50781	-0.020736	0	-7.739261E-02
4	19.82422	9.057616	20.80078	-0.020196	0	-7.631035E-02
4	19.99512	9.204101	20.94726	-0.017172	0	-0.0752032
4	20.16601	9.521483	21.26464	-0.0135	0	-7.407036E-02
4	20.41015	9.716796	21.45996	-0.014688	0	-7.291093E-02
4	20.58105	9.912108	21.65527	-0.012924	0	-7.172403E-02
4	20.77637	10.15625	21.89941	-0.010188	0	-7.050875E-02
4	20.94726	10.25391	21.99707	-0.00738	0	-0.0692641
4	21.26465	10.52246	22.26562	-0.00396	0	-0.0679891
4	21.38672	10.74219	22.48535	-0.004824	0	-6.668273E-02
4	21.48437	10.96191	22.70507	-0.00162	0	-6.534392E-02
4	21.80176	11.15723	22.90039	-0.000828	0	-6.397159E-02
4	22.02148	11.35254	23.0957	0.002808	0	-6.256456E-02
4	22.24121	11.52344	23.2666	0.002952	0	-6.112167E-02
4	22.29004	11.71875	23.46191	0.0063	0	-5.964171E-02
4	22.68066	12.03613	23.77929	0.007488	0	-5.812341E-02
4	22.80273	12.08496	23.82812	0.007848	0	-5.656547E-02
4	23.04687	12.28027	24.02343	0.01026	0	-5.496652E-02
4	23.24219	12.54883	24.29199	0.013968	0	-5.332516E-02
4	23.38867	12.86621	24.60937	0.016704	0	-5.163995E-02
4	23.6084	12.93945	24.68261	0.0189	0	-4.990939E-02
4	23.85254	13.18359	24.92675	0.017928	0	-4.813193E-02
4	23.92578	13.35449	25.09765	0.021096	0	-4.630596E-02
4	24.29199	13.64746	25.39062	0.022968	0	-4.442979E-02
4	24.36523	13.79394	25.53711	0.02466	0	-4.250172E-02
4	24.53613	13.96484	25.708	0.026784	0	-4.051996E-02
