Scan Num,Measured Voltage (V),Reference Voltage (V),Corrected Voltage (V),Current (mA),Current Error (%),Theoretical Current (mA)
4,-52.47728,-48.12062,-52.47728,-3.0924,-3.0924,-3.049139
4,-46.68068,-41.80236,-46.15901,-3.447918,34.40703,-3.042257
4,-47.33289,-42.66532,-47.02197,-2.326849,1.368575,-3.035359
4,-46.92931,-42.25676,-46.61341,-2.33831,1.56212,-3.028446
4,-46.01353,-41.3903,-45.74696,-2.863249,29.85859,-3.021517
4,-46.12812,-41.19897,-45.55563,-2.303706,2.280889,-3.014571
4,-45.7086,-41.12624,-45.48289,-2.254335,1.252374,-3.007611
4,-44.84166,-40.34448,-44.70114,-2.815347,30.00858,-3.000633
4,-44.9129,-40.48648,-44.84314,-2.240228,0.9325399,-2.993639
4,-44.50035,-40.19202,-44.54868,-2.234718,0.9445422,-2.986629
4,-44.10027,-39.76154,-44.11819,-2.21951,1.575973,-2.979603
4,-43.66829,-39.37391,-43.73056,-2.212457,1.153197,-2.97256
4,-43.28862,-38.97182,-43.32848,-2.1888,1.176427,-2.9655
4,-42.88803,-38.47706,-42.83371,-2.198351,1.312892,-2.958424
4,-42.48046,-38.12679,-42.48345,-2.167274,1.357666,-2.95133
4,-42.06393,-37.88713,-42.24379,-2.140751,1.338412,-2.944219
4,-41.64291,-37.53886,-41.89552,-2.132302,1.420281,-2.937091
4,-41.24432,-37.15969,-41.51635,-2.139208,1.313188,-2.929946
4,-40.8517,-36.69483,-41.05148,-2.6784,31.37988,-2.922783
4,-40.44911,-36.32264,-40.6793,-2.101225,1.015612,-2.915603
4,-39.55925,-35.25739,-39.61405,-2.650702,30.46163,-2.908405
4,-39.65092,-35.49107,-39.84772,-2.047004,2.053192,-2.901189
4,-39.2324,-35.05112,-39.40777,-2.036278,1.641701,-2.893955
4,-38.82085,-34.5733,-38.92995,-2.601845,32.02621,-2.886703
4,-38.41228,-34.33115,-38.6878,-2.530433,25.52753,-2.879433
4,-37.99625,-34.00779,-38.36444,-1.996972,1.584601,-2.872144
4,-37.21849,-32.85983,-37.21649,-2.567902,32.92469,-2.864837
4,-37.20155,-33.10497,-37.46162,-1.964424,1.524937,-2.857511
4,-36.78452,-32.78609,-37.14275,-1.959282,1.602522,-2.850166
4,-36.36749,-32.46173,-36.81839,-1.941355,1.586703,-2.842802
4,-35.97387,-32.10399,-36.46065,-1.93151,1.39979,-2.835419
4,-35.58075,-31.62817,-35.98482,-1.915788,1.49088,-2.828017
4,-35.16521,-31.32972,-35.68637,-1.893747,1.292046,-2.820596
4,-34.77608,-30.96699,-35.32365,-1.88831,1.01522,-2.813155
4,-34.35906,-30.61025,-34.9669,-1.869429,1.294806,-2.805694
4,-33.95448,-30.24703,-34.60368,-1.86267,1.282416,-2.798213
4,-33.55937,-29.89527,-34.25192,-1.839086,1.229743,-2.790712
4,-33.14383,-29.38407,-33.74072,-1.82542,1.52652,-2.783191
4,-32.73427,-29.06818,-33.42483,-1.804702,1.917708,-2.77565
4,-32.32721,-28.68851,-33.04517,-1.784351,1.346235,-2.768088
4,-31.90818,-28.32878,-32.68544,-1.776784,1.37471,-2.760505
4,-31.52403,-27.97552,-32.33218,-1.763339,1.469553,-2.752902
4,-31.11497,-27.59686,-31.95351,-1.74093,1.221639,-2.745277
4,-30.70442,-27.25207,-31.60873,-1.723959,1.180482,-2.737631
4,-30.30134,-26.85945,-31.21611,-1.716906,1.197711,-2.729964
4,-29.90772,-26.5062,-30.86285,-1.695967,0.9027223,-2.722275
4,-29.48023,-26.1355,-30.49216,-1.690825,1.270808,-2.714565
4,-29.07316,-25.74338,-30.10004,-1.664155,1.10382,-2.706832
4,-28.68154,-25.37468,-29.73133,-1.650416,1.165557,-2.699077
4,-28.27746,-24.99053,-29.34719,-1.639837,1.235531,-2.6913
4,-27.8679,-24.62432,-28.98098,-1.631829,1.326403,-2.6835
4,-27.4698,-24.2601,-28.61676,-1.608245,1.318409,-2.675678
